ID,name,Age,Nationality,Overall,Potential,Club,Value(£),Preferred Foot,International Reputation,Work Rate,Skill Moves,Body Type,Position,Height(cm.),Weight(lbs.),Kit Number,speed,dodge
268381,22آ J. Deeker,25,Germany,58,60,Tأ¼rkgأ¼cأ¼ Mأ¼nchen,230000,Right,1,Low/ High,2,Lean (170-185),SUB,183,152.145,15,32,92
258048,21آ P. Ramأ­rez,20,Argentina,59,71,Defensa y Justicia,525000,Right,1,Medium/ Medium,2,Normal (170-185),RES,175,167.58,14,35,88
261237,22آ Y. Miyamoto,21,Japan,57,66,Urawa Red Diamonds,350000,Right,1,Medium/ Medium,2,Normal (170-),RES,170,154.35,24,36,77
263453,22آ R. Glover,20,England,54,68,AFC Bournemouth,250000,Right,1,High/ Medium,2,Normal (170-185),RES,177,158.76,36,32,88
258552,21آ A. Essabri,18,Belgium,60,75,ADO Den Haag,575000,Left,1,Medium/ Medium,2,Normal (170-185),RES,180,149.94,33,34,96
255671,J. Martأ­nes,19,Bolivia,59,73,Club Always Ready,525000,Right,1,Medium/ Medium,2,Normal (170-185),SUB,172,138.915,14,35,90
263666,"22آ R. Gonzأ،lez",21,Mexico,54,64,Gallos Blancos de Querأ©taro,240000,Right,1,Medium/ Medium,2,Normal (170-),RES,165,147.735,28,32,80
253155,E. Hustad,25,Norway,61,65,FK Jerv,450000,Right,1,Medium/ Medium,2,Normal (185+),ST,192,183.015,9,39,82
262066,22آ J. Troya,20,Ecuador,59,70,LDU Quito,500000,Right,1,High/ Medium,2,Lean (170-185),SUB,183,165.375,27,38,62
270524,S. Sarbinowski,18,Poland,52,64,Warta Poznaإ„,180000,Right,1,High/ Medium,2,Normal (170-185),SUB,173,149.94,17,37,86
258609,22آ A. Fouda,21,Cameroon,62,72,Stade Malherbe Caen,850000,Right,1,Medium/ Medium,2,Stocky (170-185),SUB,181,163.17,32,36,70
266390,S. Zawadzki,22,United States,56,67,Columbus Crew,300000,Right,1,High/ High,2,Normal (170-185),SUB,175,158.76,25,35,80
260329,22آ L. Pأ©rez,21,Venezuela,64,74,Academia Puerto Cabello,1300000,Right,1,Medium/ Medium,2,Normal (170-185),RW,177,167.58,19,34,90
260597,21آ B. N'Diaye,21,Mauritania,63,71,CD Lugo,1000000,Right,1,Medium/ Medium,2,Normal (185+),RES,187,180.81,27,32,92
263390,C. Doyle,18,England,64,77,Coventry City,1300000,Left,1,Medium/ Medium,2,Normal (185+),SUB,191,187.425,3,32,92
264602,22آ J. Andersson,18,Sweden,54,65,Degerfors IF,230000,Right,1,Medium/ Medium,2,Normal (170-185),SUB,184,167.58,15,31,88
258771,21آ A. Cirkovic,18,Serbia,58,72,FC Flyeralarm Admira,475000,Left,1,Medium/ Medium,3,Normal (170-185),SUB,180,171.99,17,33,75
253068,22آ C. Thompson,20,Republic of Ireland,55,62,Longford Town,250000,Right,1,Medium/ Medium,2,Normal (170-185),SUB,173,154.35,11,33,70
268888,J. Cotterill,17,Wales,53,68,Swansea City,210000,Right,1,Medium/ Medium,2,Lean (170-185),RES,183,154.35,48,33,69
255890,21آ L. Donnellan,21,Republic of Ireland,53,63,Finn Harps,210000,Right,1,Medium/ High,2,Lean (170-185),SUB,181,169.785,18,32,88
