ID,name,Age,Nationality,Overall,Potential,Club,Value(£),Preferred Foot,International Reputation,Work Rate,Skill Moves,Body Type,Position,Height(cm.),Weight(lbs.),Kit Number,speed,dodge
209658,L. Goretzka,27,Germany,87,88,FC Bayern Mأ¼nchen,91000000,Right,4,High/ Medium,3,Unique,SUB,189,180.81,8,60,90
212198,Bruno Fernandes,27,Portugal,86,87,Manchester United,78500000,Right,3,High/ High,4,Unique,LCM,179,152.145,8,80,88
224334,M. Acuأ±a,30,Argentina,85,85,Sevilla FC,46500000,Left,2,High/ High,3,Stocky (170-185),LB,172,152.145,19,60,96
192985,K. De Bruyne,31,Belgium,91,91,Manchester City,107500000,Right,4,High/ High,4,Unique,RCM,181,154.35,17,50,88
224232,N. Barella,25,Italy,86,89,Inter,89500000,Right,3,High/ High,3,Normal (170-),RCM,172,149.94,23,88,87
212622,J. Kimmich,27,Germany,89,90,FC Bayern Mأ¼nchen,105500000,Right,4,High/ Medium,3,Normal (170-185),RDM,177,165.375,6,77,86
197445,D. Alaba,30,Austria,86,86,Real Madrid CF,55500000,Left,4,Medium/ Medium,3,Normal (170-185),LCB,180,171.99,4,40,95
187961,22آ Paulinho,32,Brazil,83,83,Al Ahli,28500000,Right,3,High/ High,4,Normal (170-185),LCM,183,176.4,15,38,86
208333,E. Can,28,Germany,82,82,Borussia Dortmund,30500000,Right,3,Medium/ High,3,Stocky (185+),SUB,186,189.63,23,36,87
210514,Joأ£o Cancelo,28,Portugal,88,88,Manchester City,82500000,Right,3,High/ Medium,4,Unique,LB,182,163.17,7,35,86
228251,L. Pellegrini,26,Italy,84,87,Roma,55000000,Right,2,High/ High,3,Lean (185+),RCM,186,169.785,7,37,85
177003,L. Modriؤ‡,36,Croatia,88,88,Real Madrid CF,29000000,Right,4,Medium/ Medium,4,Lean (170-185),RCM,172,145.53,10,38,89
223848,S. Milinkoviؤ‡-Saviؤ‡,27,Serbia,86,87,Lazio,77500000,Right,3,High/ Medium,4,Normal (185+),RCM,191,167.58,21,41,88
225193,Merino,26,Spain,83,86,Real Sociedad,47000000,Left,1,High/ High,3,Normal (185+),LCM,189,183.015,8,62,91
226161,Marcos Llorente,27,Spain,84,85,Atlأ©tico de Madrid,48000000,Right,3,High/ Medium,3,Lean (170-185),RCM,184,163.17,14,50,92
212616,R. De Paul,28,Argentina,84,84,Atlأ©tico de Madrid,42000000,Right,1,High/ Medium,4,Normal (170-185),SUB,180,154.35,5,40,93
181458,"I. Periإ،iؤ‡",33,Croatia,84,84,Tottenham Hotspur,26500000,Right,3,High/ Medium,4,Lean (185+),SUB,186,176.4,14,38,95
228702,F. de Jong,25,Netherlands,87,92,FC Barcelona,116500000,Right,3,High/ Medium,4,Unique,RCM,180,163.17,21,60,98
194765,A. Griezmann,31,France,83,83,Atlأ©tico de Madrid,30500000,Left,4,Medium/ Medium,4,Unique,RS,176,160.965,8,30,97
